Topic,Paper ID,Title,Authors,First Author,URL,Citations,Published
"Neural Compression","2111.00053","Symbolic Regression via Neural-Guided Genetic Programming Population Seeding","T. Nathan Mundhenk, Mikel Landajuela, Ruben Glatt, Claudio P. Santiago, Daniel M. Faissol, Brenden K. Petersen","T. Nathan Mundhenk","http://arxiv.org/abs/2111.00053",123,"2021-10-29"
"Neural Compression","2201.12904","COIN++: Neural Compression Across Modalities","Emilien Dupont, Hrushikesh Loya, Milad Alizadeh, Adam Goliński, Yee Whye Teh, Arnaud Doucet","Emilien Dupont","http://arxiv.org/abs/2201.12904",123,"2022-01-30"
"Neural Compression","2103.07492","Continual Learning for Recurrent Neural Networks: an Empirical Evaluation","Andrea Cossu, Antonio Carta, Vincenzo Lomonaco, Davide Bacciu","Andrea Cossu","http://arxiv.org/abs/2103.07492",122,"2021-03-12"
"Neural Compression","2005.11138","TinyLSTMs: Efficient Neural Speech Enhancement for Hearing Aids","Igor Fedorov, Marko Stamenovic, Carl Jensen, Li-Chia Yang, Ari Mandell, Yiming Gan, Matthew Mattina, Paul N. Whatmough","Igor Fedorov","http://arxiv.org/abs/2005.11138",121,"2020-05-20"
"Neural Compression","2104.04523","Compressive Neural Representations of Volumetric Scalar Fields","Yuzhe Lu, Kairong Jiang, Joshua A. Levine, Matthew Berger","Yuzhe Lu","http://arxiv.org/abs/2104.04523",119,"2021-04-11"
"Neural Compression","2006.03669","An Overview of Neural Network Compression","James O' Neill","James O' Neill","http://arxiv.org/abs/2006.03669",118,"2020-06-05"
"Neural Compression","2108.12654","Self-supervised Neural Networks for Spectral Snapshot Compressive Imaging","Ziyi Meng, Zhenming Yu, Kun Xu, Xin Yuan","Ziyi Meng","http://arxiv.org/abs/2108.12654",110,"2021-08-28"
"Neural Compression","2001.04246","AdaBERT: Task-Adaptive BERT Compression with Differentiable Neural Architecture Search","Daoyuan Chen, Yaliang Li, Minghui Qiu, Zhen Wang, Bofang Li, Bolin Ding, Hongbo Deng, Jun Huang, Wei Lin, Jingren Zhou","Daoyuan Chen","http://arxiv.org/abs/2001.04246",108,"2020-01-13"
"Neural Compression","2010.03954","A Survey on Deep Neural Network Compression: Challenges, Overview, and Solutions","Rahul Mishra, Hari Prabhat Gupta, Tanima Dutta","Rahul Mishra","http://arxiv.org/abs/2010.03954",103,"2020-10-05"
"Neural Compression","2005.00615","A Dual-Dimer Method for Training Physics-Constrained Neural Networks with Minimax Architecture","Dehao Liu, Yan Wang","Dehao Liu","http://arxiv.org/abs/2005.00615",102,"2020-05-01"
